Strike,Bid,Ask
800,0,0.1
900,0,0.1
1000,0,0.1
1050,0,0.1
1100,0,0.05
1125,0,0.05
1150,0,0.05
1175,0,0.05
1200,0,0.05
1220,0,0.1
1225,0,0.05
1240,0,0.1
1250,0,0.05
1260,0,0.1
1270,0,0.1
1275,0,0.1
1280,0,0.1
1290,0,0.1
1300,0.05,0.1
1305,0,0.1
1310,0,0.1
1315,0,0.1
1320,0,0.1
1325,0.05,0.1
1330,0,0.1
1335,0,0.15
1340,0,0.15
1345,0,0.15
1350,0.05,0.15
1355,0.05,0.35
1360,0,0.35
1365,0,0.35
1370,0.05,0.35
1375,0.1,0.15
1380,0.1,0.2
1385,0.1,0.35
1390,0.1,0.35
1395,0.1,0.15
1400,0.1,0.15
1405,0,0.35
1410,0.05,0.4
1415,0,0.4
1420,0.05,0.4
1425,0.15,0.2
1430,0.05,0.4
1435,0.15,0.4
1440,0.05,0.3
1445,0.05,0.4
1450,0.15,0.25
1455,0.05,0.45
1460,0.05,0.45
1465,0.05,0.45
1470,0.05,0.45
1475,0.15,0.25
1480,0.05,0.45
1485,0.2,0.5
1490,0.05,0.3
1495,0.05,0.5
1500,0.25,0.4
1505,0.3,0.35
1510,0.05,0.55
1515,0.05,0.55
1520,0.1,0.6
1525,0.3,0.4
1530,0.05,0.6
1535,0.1,0.65
1540,0.1,0.65
1545,0.1,0.65
1550,0.3,0.7
1555,0.15,0.7
1560,0.15,0.7
1565,0.15,0.7
1570,0.2,0.75
1575,0.35,0.75
1580,0.25,0.8
1585,0.25,0.8
1590,0.25,0.8
1595,0.25,0.8
1600,0.5,0.85
1605,0.3,0.85
1610,0.35,0.9
1615,0.35,0.9
1620,0.35,0.9
1625,0.4,0.95
1630,0.4,0.95
1635,0.45,1
1640,0.45,1
1645,0.5,1.05
1650,0.5,0.85
1655,0.55,1.1
1660,0.55,1.1
1665,0.6,1.15
1670,0.6,1.15
1675,0.65,1.2
1680,0.7,1.25
1685,0.75,1.3
1690,0.75,1.3
1695,0.8,1.35
1700,0.85,1.4
1705,0.85,1.4
1710,0.9,1.45
1715,0.95,1.5
1720,1,1.55
1725,1.05,1.6
1730,1.1,1.65
1735,1.15,1.7
1740,1.2,1.75
1745,1.25,1.85
1750,1.3,1.9
1755,1.4,1.95
1760,1.45,2.05
1765,1.5,2.15
1770,1.6,2.2
1775,1.65,2.35
1780,1.75,2.4
1785,1.85,2.5
1790,1.9,2.6
1795,2,2.75
1800,2.15,2.9
1805,2.25,3
1810,2.35,3.2
1815,2.5,3.4
1820,2.65,3.5
1825,3,3.6
1830,3,3.9
1835,3.2,4.1
1840,3.4,4.4
1845,3.6,4.6
1850,3.8,4.9
1855,4.1,5.2
1860,4.4,5.5
1865,4.7,5.8
1870,5,6.2
1875,5.4,6.6
1880,5.8,7
1885,6.2,7.5
1890,6.7,8
1895,7.2,8.6
1900,7.8,8.8
1905,8.5,9.5
1910,9.1,10.2
1915,9.9,11.3
1920,10.7,12.1
1925,11.6,12.6
1930,12.5,14
1935,13.6,14.7
1940,14.7,15.8
1945,15.9,17.2
1950,17.7,18.8
1955,19,20.5
1960,20.6,22
1965,22.3,24
1970,24.3,25.8
1975,26.5,28.1
1980,28.9,30.6
1985,31.4,33.2
1990,34.3,36.5
1995,37.4,39.7
2000,40.7,43.2
2005,44,47.7
2010,48,51.4
2015,52.2,56
2020,56.6,60.4
2025,61.2,65
2030,65.9,69.7
2035,70.7,74.4
2040,75.6,79.3
2045,80.5,84.1
2050,85.4,89
2055,90.4,94
2060,95.3,98.9
2065,100.3,103.9
2070,105.3,108.9
2075,110.3,113.8
2080,115.3,118.8
2085,120.3,123.8
2090,125.3,128.8
2095,130.3,133.8
2100,135.3,138.8
2120,155.3,158.8
2125,160.3,163.8
2150,185.2,188.8
2175,210.2,213.7
2200,235.2,238.7
2225,260.2,263.7
2250,285.2,288.7
